"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I8FVGDRW","book","2013","Scolari, Carlos A","Narrativas Transmedia: cuando todos los medios cuentan","","978-84-234-1336-2 84-234-1336-5","","","","","2013","2024-08-13 19:24:10","2024-08-13 19:24:10","","","","","","","","Narrativas Transmedia","","","","","Centro Libros PAPF, S.L.U.","Barcelona","Spanish","","","","","Open WorldCat","","ZSCC: 0001824 Citation Key: Scolari2013Narrativasa","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92JTDSH5","book","2006","Mora, Vicente Luis","Pangea: Internet, blogs y comunicación en un mundo nuevo","","","","","","","2006","2024-08-13 19:24:08","2024-08-13 19:24:08","","","259","","","","","","","","","","Fundación José Manuel Lara","Sevilla","Spanish","","","","","","","ZSCC: 0000098 Citation Key: Mora2006Pangeaa","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBQPVRUD","book","2018","","Literatura en el laboratorio. Canon, archivo y crítica literaria en la era digital","","","","","https://www.gedisa.com/ficha.aspx?idcol=240&cod=240018&titulo=Literatura-en-el-laboratorio&aut=Moretti,%20Franco#.YQg4k-3tbe1","","2018","2024-08-13 19:24:07","2024-08-13 19:24:07","","","236","","","","","","","","","","Gedisa","Barcelona","es","","","","","","","Citation Key: Moretti2018Literatura","","","","#nosource","","Moretti, Franco","","Rojas Castro, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVED7ZWW","book","2016","","Computation and the Humanities: Towards an Oral History of Digital Humanities","","978-3-318-20170-2","","","https://www.springer.com/gp/book/9783319201696","","2016","2024-08-13 19:24:01","2024-08-13 19:24:01","2021-02-05","","XI, 285","","1","1","","","Springer Series on Cultural Computing","","","","Springer International Publishing","","English","","","","","","","Citation Key: Nyhan.Flinn2016Computation","","","","#nosource","","Nyhan, J.; Flinn, A.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2I33IS4E","book","2018","","Humanidades Digitales: Construcciones locales en contextos globales. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","978-987-40-1997-4","","","","","2018","2024-08-13 19:23:59","2024-08-13 19:23:59","","","566","","1","1","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: RioRiande.etal2018Humanidades","","","","#nosource","","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8U5NQW6P","book","2019","","Digital Classical Philology. Ancient Greek and Latin in the Digital Revolution","","978-3-11-059678-6 978-3-11-059957-2","","","","","2019","2024-08-13 19:23:56","2024-08-13 19:23:56","","","348","","1","1","","","Age of Access? Grundfragen der Informationsgesellschaft","10","","","Walter de Gruyter GmbH","Berlin - Boston","English","","","","","","","ZSCC: 0000017  Citation Key: Berti2019Digital","","","","#nosource","","Berti, M.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NANQRZKP","book","2019","","Ancient Manuscripts in Digital Culture. Visualisation, Data Mining, Communication","","978-90-04-39929-7","","","https://doi.org/10.1163/9789004399297","Ancient Manuscripts in Digital Culture presents an overview of the digital turn in Ancient Jewish and Christian manuscripts visualisation, data mining and communication. Edited by David Hamidović, Claire Clivaz and Sarah Bowen Savant, it gathers together the contributions of seventeen scholars involved in Biblical, Early Jewish and Christian studies. The volume attests to the spreading of digital humanities in these fields and presents fundamental analysis of the rise of visual culture as well as specific test-cases concerning ancient manuscripts. Sophisticated visualisation tools, stylometric analysis, teaching and visual data, epigraphy and visualisation belong notably to the varied overview presented in the volume.","2019","2024-08-13 19:23:54","2024-08-13 19:23:54","","","xvi, 284","","1","1","","","Digital Biblical Studies","3","","","Brill","Leiden - Boston","English","","","","","","","ZSCC: 0000001  Citation Key: Hamidovic.etal2019Ancient","","","","#nosource; Ciencias de las Religiones; codicología; Egipto antiguo; epigrafía; estudios bíblicos; Estudios Clásicos; estudios judís; filología; Lingüística; Literatura; Oriente Próximo antiguo; papirología; religión en la Antigüedad","","Hamidović, D.; Clivaz, C.; Bowen Savant, S.","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBUZKU7I","book","2019","Clivaz, C.","Ecritures digitales. Digital Writing, Digital Scriptures","","978-90-04-40256-0","","","https://doi.org/10.1163/9789004402560_002","","2019","2024-08-13 19:23:49","2024-08-13 19:23:49","","","290","","1","1","","","Digital Biblical Studies","4","","","Brill","Leiden - Boston","Français, English","","","","","","","ZSCC: 0000006  Citation Key: Clivaz2019Ecritures","","","","#nosource","","","","","","","","","","","","","","","","","","","","","1ª","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJQAEIVS","book","2003","Vega, María José","Literatura hipertextual y teoría literaria","","","","","http://cv.uoc.edu/~04_999_01_u07/vega1.html","","2003","2024-08-13 19:23:47","2024-08-13 19:23:47","","","","","","","","","","","","","Marenostrum comunicación","Madrid","Spanish","","","","","","","00029 Citation Key: Vega2003Literatura","","","","#nosource; Hipertexto; Teoría","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNCG5SU7","book","2018","Salamanca López, Manuel Joaquín","Entornos Digitales: Humanidades y Ciencias Sociales en la Universidad Complutense de Madrid.","","978-607-98364-0-5","","","","","2018","2024-08-13 19:23:45","2024-08-13 19:23:45","","","169","","","","","","","","","","Red de Humanidades Digitales","Ciudad de México","Español","","","","","","","00000 Citation Key: SalamancaLopez2018Entornos","","","","#nosource","","Romero López, María Dolores","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MN49AMB9","book","2011","Rosenzweig, Roy","Clio Wired: The Future of the Past in the Digital Age","","978-0-231-15086-6","","","http://gen.lib.rus.ec/book/index.php?md5=f6c0a57cec53562ae70ca082a1a78d7d","","2011","2024-08-13 19:23:43","2024-08-13 19:23:43","2019-07-28 01:03:52","","","","","","","Clio Wired","","","","","Columbia University Press","New York","","","","","","Library Genesis","","00000 Citation Key: Rosenzweig2011Clio","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5BDITDI","book","2013","Kelly, T. Mills","Teaching History in the Digital Age","","978-0-472-02913-6","","","https://muse.jhu.edu/book/22708","Although many humanities scholars have been talking and writing about the transition to the digital age for more than a decade, only in the last few years have we seen a convergence of the factors that make this transition possible: the spread of sufficient infrastructure on campuses, the creation of truly massive databases of humanities content, and a generation of students that has never known a world without easy Internet access. Teaching History in the Digital Age serves as a guide for practitioners on how to fruitfully employ the transformative changes of digital media in the research, writing, and teaching of history. T. Mills Kelly synthesizes more than two decades of research in digital history, offering practical advice on how to make best use of the results of this synthesis in the classroom and new ways of thinking about pedagogy in the digital humanities.","2013","2024-08-13 19:23:39","2024-08-13 19:23:39","2018-04-11 17:46:06","","","","","","","","","","","","University of Michigan Press","","English","","","","","Project MUSE","","QID: Q60186757 Citation Key: Kelly2013Teaching","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MU8IJG9","book","2013","Dougherty, Jack; Nawrotzki, Kristen","Writing History in the Digital Age","","978-0-472-02991-4","","","https://muse.jhu.edu/book/27633","Writing History in the Digital Age began as a “what-if” experiment by posing a question: How have Internet technologies influenced how historians think, teach, author, and publish? To illustrate their answer, the contributors agreed to share the stages of their book-in-progress as it was constructed on the public web.       To facilitate this innovative volume, editors Jack Dougherty and Kristen Nawrotzki designed a born-digital, open-access, and open peer review process to capture commentary from appointed experts and general readers. A customized WordPress plug-in allowed audiences to add page- and paragraph-level comments to the manuscript, transforming it into a socially networked text. The initial six-week proposal phase generated over 250 comments, and the subsequent eight-week public review of full drafts drew 942 additional comments from readers across different parts of the globe.       The finished product now presents 20 essays from a wide array of notable scholars, each examining (and then breaking apart and reexamining) if and how digital and emergent technologies have changed the historical profession.","2013","2024-08-13 19:23:37","2024-08-13 19:23:37","2018-04-11 17:45:08","","","","","","","","","","","","University of Michigan Press","","English","","","","","Project MUSE","","00059 Citation Key: Dougherty.Nawrotzki2013Writing","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3C3HAC3","book","2018","Gil, Tiago Luís","Como se faz um banco de dados (em História)","","","","","https://www.academia.edu/15767099/Como_se_faz_um_banco_de_dados_em_Hist%C3%B3ria_","Como se faz um banco de dados (em História)","2018-04-21","2024-08-13 19:23:33","2024-08-13 19:23:33","2018-04-21 00:20:07","","","","","","","","","","","","","","en","","","","","www.academia.edu","","00015 Citation Key: Gil2018Como","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TUPUZ38","book","2018","Gil, Tiago Luís","Bresciano y Gil. LA HISTORIOGRAFÍA ANTE EL GIRO DIGITAL Reflexiones teóricas y prácticas metodológicas","","","","","https://www.academia.edu/28804607/Bresciano_y_Gil._LA_HISTORIOGRAF%C3%8DA_ANTE_EL_GIRO_DIGITAL_Reflexiones_te%C3%B3ricas_y_pr%C3%A1cticas_metodol%C3%B3gicas","Bresciano y Gil. LA HISTORIOGRAFÍA ANTE EL GIRO DIGITAL Reflexiones teóricas y prácticas metodológicas","2018-04-21","2024-08-13 19:23:30","2024-08-13 19:23:30","2018-04-21 00:23:33","","","","","","","","","","","","","","en","","","","","www.academia.edu","","00000 Citation Key: Gil2018Bresciano","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
